Change Date,Ticker
2004-02-26,CE (Con)
2004-03-24,TUP
2004-03-31,FBF
2004-04-01,TAP.B
2004-04-22,PCS (Sprint)
2004-04-28,JHF
2004-04-30,AM
2004-06-30,UPC
2004-06-30,ONE
2004-08-02,TNB
2004-08-31,CF (Char)
2004-10-26,AWE
2004-10-29,SOTR
2004-11-30,WLP
2004-12-02,WIN (W-D)
2004-12-17,WOR
2004-12-17,DLX
2004-12-17,CR
2004-12-28,PSFT
2005-03-11,PWER
2005-03-24,S (Sears)
2005-07-01,GLK (Chem)
2005-07-01,VRTS (Veri)
2005-07-21,TOY
2005-08-10,UCL
2005-08-11,SDS
2005-08-12,NXTL
2005-08-18,DAL
2005-08-29,MAY
2005-09-30,G (Gil)
2005-09-30,PVN (Fin)
2005-10-10,DPH
2005-11-18,T (Old)
2005-12-01,CPN
2005-12-19,GP
2005-12-30,KRB
2005-12-30,VC
2006-01-03,MERQ
2006-01-31,SEBL
2006-01-31,RBK
2006-02-24,SFA
2006-03-02,DAN
2006-03-31,BR (OLD)
2006-03-31,CIN
2006-03-31,JP
2006-03-31,MYG
2006-04-19,CHIR
2006-04-21,GDT
2006-05-17,AMCC
2006-06-01,ABS
2006-06-05,EC
2006-06-27,KRI
2006-07-17,CTB
2006-07-31,GTW
2006-07-31,CAR
2006-08-10,KMG (Ker)
2006-09-29,ANDW
2006-09-29,GDW
2006-11-03,ASO
2006-11-09,LPX
2006-11-09,FSH
2006-11-16,ACV
2006-11-17,HCA
2006-11-30,LU
2006-11-30,NFB
2006-12-01,FSLB
2006-12-19,NAV
2006-12-29,PAR
2007-01-03,BLS
2007-01-09,SBL
2007-02-01,CMVT
2007-02-09,EOP
2007-02-14,APCC
2007-02-21,PGL
2007-03-01,HMA
2007-03-19,PD
2007-03-22,CMX
2007-03-28,UVN
2007-03-30,TSG
2007-04-09,RLGY
2007-05-30,KMI
2007-05-31,MEDI
2007-06-29,PMCS
2007-06-29,MEL
2007-06-29,SANM
2007-06-29,ADCT
2007-07-06,DG
2007-07-11,BMET
2007-08-24,KSE
2007-09-07,CBSS
